recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,entryUnderlying,exitUnderlying,strike,entryCost,exitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
trade,trade_log,,,,,,,,,,,,2018-10-29,2019-10-29,sigma1_weekly_1lot,1,1,155.577,188.5188,147,2861.7401,4858.1573,1996.4171,0.697623,365,32.9513,24.7,16.2086,5.5031,21.7117,"RSI(14) 32.9513 < 35; VIX 24.7 >= 21.7117; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-10-10,2019-11-15,sigma1_weekly_1lot,1,1,163.6785,195.1252,156,2775.199,4591.7795,1816.5804,0.654577,401,24.7447,22.96,16.1726,5.4993,21.6719,"RSI(14) 24.7447 < 35; VIX 22.96 >= 21.6719; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-11-20,2019-11-20,sigma1_weekly_1lot,1,1,151.6978,194.3944,143,2921.6768,5691.3048,2769.628,0.947958,365,34.4671,22.48,16.2372,5.4926,21.7298,"RSI(14) 34.4671 < 35; VIX 22.48 >= 21.7298; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-12-21,2019-12-16,sigma2_daily_2lot,2,2,140.6512,201.2413,132,5752.603,14689.134,8936.5311,1.553476,360,28.5586,30.11,16.2963,5.5045,27.3053,"RSI(14) 28.5586 < 35; VIX 30.11 >= 27.3053; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2018-12-19,2019-12-16,sigma1_weekly_1lot,1,1,147.2849,201.2413,138,3000.6951,6778.6606,3777.9655,1.25903,362,34.963,25.58,16.2834,5.492,21.7754,"RSI(14) 34.963 < 35; VIX 25.58 >= 21.7754; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2018-12-20,2019-12-20,sigma2_daily_2lot,2,2,145.1499,203.5876,136,5921.3392,14374.5168,8453.1777,1.427579,365,32.7186,28.38,16.2894,5.4972,27.2838,"RSI(14) 32.7186 < 35; VIX 28.38 >= 27.2838; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2019-08-05,2020-05-29,sigma1_weekly_1lot,1,1,173.4464,225.3728,163,3497.4904,7706.3222,4208.8318,1.203386,298,29.7994,24.59,16.2753,5.3945,21.6698,"RSI(14) 29.7994 < 35; VIX 24.59 >= 21.6698; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-12,2020-06-08,sigma2_daily_2lot,2,2,170.8867,233.2825,159,7397.9508,18643.0123,11245.0616,1.520024,88,29.0173,75.47,16.349,5.6899,27.7288,"RSI(14) 29.0173 < 35; VIX 75.47 >= 27.7288; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-16,2020-06-09,sigma2_daily_2lot,2,2,163.1576,234.9725,151,8007.9192,20071.6678,12063.7486,1.506477,85,31.8202,82.69,16.3956,5.9153,28.2262,"RSI(14) 31.8202 < 35; VIX 82.69 >= 28.2262; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-09,2020-07-01,sigma2_daily_2lot,2,2,186.5471,242.3371,176,7124.8469,17877.1932,10752.3462,1.509134,114,31.0924,54.46,16.2937,5.4658,27.2253,"RSI(14) 31.0924 < 35; VIX 54.46 >= 27.2253; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-28,2020-07-06,sigma2_daily_2lot,2,2,198.3334,249.9801,189,6636.569,17407.8535,10771.2845,1.62302,129,27.3012,40.11,16.2328,5.327,26.8868,"RSI(14) 27.3012 < 35; VIX 40.11 >= 26.8868; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-27,2020-07-06,sigma2_daily_2lot,2,2,198.1792,249.9801,189,6615.6767,17400.2195,10784.5428,1.63015,130,27.0081,39.16,16.2224,5.3049,26.8322,"RSI(14) 27.0081 < 35; VIX 39.16 >= 26.8322; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-25,2020-07-09,sigma2_daily_2lot,2,2,207.5562,253.6467,198,6718.6642,16862.7978,10144.1336,1.509844,135,34.0522,27.85,16.2075,5.2803,26.7681,"RSI(14) 34.0522 < 35; VIX 27.85 >= 26.7681; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2021-03-04,2022-09-06,sigma1_weekly_1lot,1,1,294.7356,286.2962,274,8503.3814,3556.3239,-4947.0576,-0.581775,551,34.3274,28.57,17.6439,7.4771,25.121,"RSI(14) 34.3274 < 35; VIX 28.57 >= 25.121; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2021-03-08,2022-09-09,sigma1_weekly_1lot,1,1,290.7036,300.0127,270,8391.1314,4758.678,-3632.4533,-0.432892,550,34.0021,25.47,17.6497,7.4771,25.1268,"RSI(14) 34.0021 < 35; VIX 25.47 >= 25.1268; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2021-05-12,2022-11-14,sigma1_weekly_1lot,1,1,307.5196,279.3628,287,6660.6072,2826.626,-3833.9812,-0.57562,551,34.0253,27.59,17.6745,7.4189,25.0934,"RSI(14) 34.0253 < 35; VIX 27.59 >= 25.0934; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2022-05-11,2023-06-12,sigma1_weekly_1lot,1,1,284.5671,354.2071,265,6208.9067,10347.6637,4138.757,0.666584,397,32.4321,32.56,17.9776,7.3105,25.2881,"RSI(14) 32.4321 < 35; VIX 32.56 >= 25.2881; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-06-13,2023-06-13,sigma2_daily_2lot,2,2,268.5466,356.9288,249,12547.623,24034.4081,11486.7851,0.915455,365,33.1342,34.02,18.0506,7.3333,32.7172,"RSI(14) 33.1342 < 35; VIX 34.02 >= 32.7172; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-03-08,2023-06-13,sigma2_daily_2lot,2,2,314.9026,356.9288,297,11875.8851,15539.0835,3663.1984,0.308457,462,34.1634,35.13,17.8534,7.2755,32.4044,"RSI(14) 34.1634 < 35; VIX 35.13 >= 32.4044; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-06-14,2023-06-14,sigma1_weekly_1lot,1,1,269.0341,359.5228,250,6256.8312,12143.5106,5886.6794,0.94084,365,33.5279,32.69,18.0556,7.3371,25.3927,"RSI(14) 33.5279 < 35; VIX 32.69 >= 25.3927; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-03-07,2023-06-15,sigma2_daily_2lot,2,2,316.3731,363.8068,298,12110.5825,16405.7347,4295.1522,0.354661,465,34.8133,36.45,17.8473,7.2695,32.3863,"RSI(14) 34.8133 < 35; VIX 36.45 >= 32.3863; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-06-16,2023-06-16,sigma2_daily_2lot,2,2,264.6268,361.5174,246,12424.6848,25325.521,12900.8362,1.038323,365,33.9971,32.95,18.0648,7.343,32.7508,"RSI(14) 33.9971 < 35; VIX 32.95 >= 32.7508; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-05-09,2023-07-13,sigma2_daily_2lot,2,2,289.7448,373.0529,270,12598.4291,22731.6631,10133.234,0.804325,430,33.1418,34.75,17.9672,7.3025,32.5722,"RSI(14) 33.1418 < 35; VIX 34.75 >= 32.5722; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-02-23,2023-07-13,sigma1_weekly_1lot,1,1,320.814,373.0529,302,6194.8222,8339.3888,2144.5667,0.346187,505,32.2348,31.02,17.8087,7.2426,25.0513,"RSI(14) 32.2348 < 35; VIX 31.02 >= 25.0513; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-01-20,2023-07-24,sigma1_weekly_1lot,1,1,352.2702,370.1799,333,6365.7492,5479.8015,-885.9477,-0.139174,550,31.049,25.59,17.7381,7.2238,24.9619,"RSI(14) 31.049 < 35; VIX 25.59 >= 24.9619; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2022-04-26,2023-07-27,sigma2_daily_2lot,2,2,309.2367,370.5635,290,12614.4628,18660.0067,6045.5438,0.479255,457,33.7858,33.52,17.9263,7.2763,32.4789,"RSI(14) 33.7858 < 35; VIX 33.52 >= 32.4789; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-04-27,2023-07-28,sigma1_weekly_1lot,1,1,308.8662,377.3132,289,6333.8076,9991.1944,3657.3867,0.577439,457,33.6248,31.6,17.9311,7.2795,25.2106,"RSI(14) 33.6248 < 35; VIX 31.6 >= 25.2106; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-01-24,2023-07-28,sigma1_weekly_1lot,1,1,344.0701,377.3132,325,6272.5953,6567.574,294.9787,0.047027,550,28.3738,29.9,17.7464,7.2279,24.9743,"RSI(14) 28.3738 < 35; VIX 29.9 >= 24.9743; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2022-09-21,2023-10-11,sigma1_weekly_1lot,1,1,277.5229,365.7791,257,7075.4049,11826.5228,4751.1178,0.671498,385,34.8196,27.99,18.2118,7.3372,25.549,"RSI(14) 34.8196 < 35; VIX 27.99 >= 25.549; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-09-06,2023-11-14,sigma1_weekly_1lot,1,1,286.2962,379.6823,265,7178.3526,12195.0832,5016.7306,0.698869,434,33.4322,26.91,18.184,7.3363,25.5203,"RSI(14) 33.4322 < 35; VIX 26.91 >= 25.5203; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2024-08-06,2025-06-30,sigma1_weekly_1lot,1,1,435.4464,549.5992,414,7344.2711,16163.6834,8819.4123,1.200856,328,33.4584,27.71,18.0948,7.0566,25.1514,"RSI(14) 33.4584 < 35; VIX 27.71 >= 25.1514; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2024-08-05,2025-08-05,sigma2_daily_2lot,2,2,431.325,558.1973,410,14551.2111,33765.3333,19214.1222,1.320448,365,30.2739,38.57,18.092,7.0557,32.2034,"RSI(14) 30.2739 < 35; VIX 38.57 >= 32.2034; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2025-04-08,2025-08-08,sigma2_daily_2lot,2,2,414.0558,572.4245,388,16750.6061,42693.033,25942.4269,1.548746,122,23.3233,52.33,18.1177,6.9805,32.0787,"RSI(14) 23.3233 < 35; VIX 52.33 >= 32.0787; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2025-04-04,2025-08-12,sigma2_daily_2lot,2,2,420.634,577.9041,394,17039.1785,42601.3,25562.1215,1.500197,130,24.3389,45.31,18.1001,6.9422,31.9845,"RSI(14) 24.3389 < 35; VIX 45.31 >= 31.9845; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2025-04-07,2025-09-11,sigma2_daily_2lot,2,2,421.649,581.9193,395,17048.5635,42711.624,25663.0606,1.505292,157,25.0236,46.98,18.1082,6.958,32.0242,"RSI(14) 25.0236 < 35; VIX 46.98 >= 32.0242; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2025-04-03,2025-09-12,sigma1_weekly_1lot,1,1,448.4891,584.4897,422,8721.5213,19408.3972,10686.8759,1.225345,162,31.7204,30.02,18.0925,6.9283,25.0208,"RSI(14) 31.7204 < 35; VIX 30.02 >= 25.0208; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2025-03-10,2025-10-02,sigma1_weekly_1lot,1,1,469.7523,604.1887,443,8723.8899,19224.0082,10500.1183,1.203605,206,28.5145,27.86,18.0751,6.9377,25.0128,"RSI(14) 28.5145 < 35; VIX 27.86 >= 25.0128; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
