recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,entryUnderlying,exitUnderlying,strike,entryCost,exitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
trade,trade_log,,,,,,,,,,,,2018-10-24,2019-10-24,sigma1_weekly_1lot,1,1,157.5881,186.6436,149,2857.4001,4575.1594,1717.7593,0.601162,365,29.6174,25.23,16.1962,5.4981,21.6943,"RSI(14) 29.6174 < 35; VIX 25.23 >= 21.6943; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-10-10,2019-10-28,sigma1_weekly_1lot,1,1,163.6785,189.9901,156,2775.202,4240.3428,1465.1409,0.52794,383,24.7448,22.96,16.1726,5.4993,21.6719,"RSI(14) 24.7448 < 35; VIX 22.96 >= 21.6719; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-10-29,2019-10-29,sigma1_weekly_1lot,1,1,155.577,188.5188,147,2861.7429,4858.1554,1996.4124,0.697621,365,32.9513,24.7,16.2086,5.5031,21.7117,"RSI(14) 32.9513 < 35; VIX 24.7 >= 21.7117; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-12-19,2019-11-04,sigma1_weekly_1lot,1,1,147.2849,192.423,138,3000.6957,6051.3372,3050.6414,1.016645,320,34.963,25.58,16.2834,5.492,21.7754,"RSI(14) 34.963 < 35; VIX 25.58 >= 21.7754; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2018-11-20,2019-11-20,sigma1_weekly_1lot,1,1,151.6978,194.3944,143,2921.6785,5691.3012,2769.6227,0.947956,365,34.4671,22.48,16.2372,5.4926,21.7298,"RSI(14) 34.4671 < 35; VIX 22.48 >= 21.7298; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-12-21,2019-12-16,sigma2_daily_2lot,2,2,140.6512,201.2412,132,5752.6005,14689.1278,8936.5273,1.553476,360,28.5585,30.11,16.2963,5.5045,27.3053,"RSI(14) 28.5585 < 35; VIX 30.11 >= 27.3053; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2018-12-20,2019-12-20,sigma2_daily_2lot,2,2,145.1499,203.5876,136,5921.3404,14374.5196,8453.1793,1.427579,365,32.7186,28.38,16.2894,5.4972,27.2838,"RSI(14) 32.7186 < 35; VIX 28.38 >= 27.2838; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2019-08-05,2020-02-12,sigma1_weekly_1lot,1,1,173.4464,225.7705,163,3497.4893,7063.6929,3566.2035,1.019647,191,29.7995,24.59,16.2753,5.3945,21.6698,"RSI(14) 29.7995 < 35; VIX 24.59 >= 21.6698; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-12,2020-06-08,sigma2_daily_2lot,2,2,170.8867,233.2825,159,7397.951,18643.0107,11245.0597,1.520024,88,29.0172,75.47,16.349,5.6899,27.7288,"RSI(14) 29.0172 < 35; VIX 75.47 >= 27.7288; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-16,2020-06-09,sigma2_daily_2lot,2,2,163.1576,234.9726,151,8007.9195,20071.669,12063.7494,1.506477,85,31.8202,82.69,16.3956,5.9153,28.2262,"RSI(14) 31.8202 < 35; VIX 82.69 >= 28.2262; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-09,2020-07-01,sigma2_daily_2lot,2,2,186.5471,242.3372,176,7124.8542,17877.1959,10752.3417,1.509131,114,31.0925,54.46,16.2937,5.4658,27.2253,"RSI(14) 31.0925 < 35; VIX 54.46 >= 27.2253; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-28,2020-07-06,sigma2_daily_2lot,2,2,198.3334,249.9801,189,6636.5649,17407.8536,10771.2887,1.623022,129,27.301,40.11,16.2328,5.327,26.8868,"RSI(14) 27.301 < 35; VIX 40.11 >= 26.8868; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-27,2020-07-06,sigma2_daily_2lot,2,2,198.1792,249.9801,189,6615.6768,17400.2196,10784.5428,1.63015,130,27.0081,39.16,16.2224,5.3049,26.8322,"RSI(14) 27.0081 < 35; VIX 39.16 >= 26.8322; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-25,2020-07-09,sigma2_daily_2lot,2,2,207.5562,253.6467,198,6718.6702,16862.7907,10144.1205,1.509841,135,34.0522,27.85,16.2075,5.2803,26.7681,"RSI(14) 34.0522 < 35; VIX 27.85 >= 26.7681; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2021-03-04,2022-09-06,sigma1_weekly_1lot,1,1,294.7355,286.2963,274,8503.3672,3556.3282,-4947.0391,-0.581774,551,34.3274,28.57,17.6439,7.4771,25.121,"RSI(14) 34.3274 < 35; VIX 28.57 >= 25.121; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2021-03-08,2022-09-09,sigma1_weekly_1lot,1,1,290.7036,300.0127,270,8391.1234,4758.6761,-3632.4473,-0.432892,550,34.0021,25.47,17.6497,7.4771,25.1268,"RSI(14) 34.0021 < 35; VIX 25.47 >= 25.1268; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2021-05-12,2022-11-14,sigma1_weekly_1lot,1,1,307.5196,279.3627,287,6660.5988,2826.6201,-3833.9787,-0.575621,551,34.0253,27.59,17.6745,7.4189,25.0934,"RSI(14) 34.0253 < 35; VIX 27.59 >= 25.0934; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2022-05-11,2023-05-26,sigma1_weekly_1lot,1,1,284.5671,342.3278,265,6208.9103,9453.5274,3244.6172,0.522574,380,32.4322,32.56,17.9776,7.3105,25.2881,"RSI(14) 32.4322 < 35; VIX 32.56 >= 25.2881; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-06-13,2023-06-13,sigma2_daily_2lot,2,2,268.5466,356.9288,249,12547.6237,24034.4064,11486.7827,0.915455,365,33.1342,34.02,18.0506,7.3333,32.7172,"RSI(14) 33.1342 < 35; VIX 34.02 >= 32.7172; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-03-08,2023-06-13,sigma2_daily_2lot,2,2,314.9026,356.9288,297,11875.8832,15539.081,3663.1978,0.308457,462,34.1634,35.13,17.8534,7.2755,32.4044,"RSI(14) 34.1634 < 35; VIX 35.13 >= 32.4044; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-06-14,2023-06-14,sigma1_weekly_1lot,1,1,269.0341,359.5228,250,6256.8274,12143.5124,5886.685,0.940842,365,33.5278,32.69,18.0556,7.3371,25.3927,"RSI(14) 33.5278 < 35; VIX 32.69 >= 25.3927; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-03-07,2023-06-15,sigma2_daily_2lot,2,2,316.3731,363.8068,298,12110.584,16405.7319,4295.1478,0.354661,465,34.8133,36.45,17.8473,7.2695,32.3863,"RSI(14) 34.8133 < 35; VIX 36.45 >= 32.3863; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-06-16,2023-06-16,sigma2_daily_2lot,2,2,264.6267,361.5174,246,12424.6768,25325.5193,12900.8424,1.038324,365,33.9971,32.95,18.0648,7.343,32.7508,"RSI(14) 33.9971 < 35; VIX 32.95 >= 32.7508; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-05-09,2023-07-13,sigma2_daily_2lot,2,2,289.7448,373.0529,270,12598.4232,22731.6669,10133.2437,0.804326,430,33.1418,34.75,17.9672,7.3025,32.5722,"RSI(14) 33.1418 < 35; VIX 34.75 >= 32.5722; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-04-27,2023-07-13,sigma1_weekly_1lot,1,1,308.8661,373.0529,289,6333.7997,9736.1328,3402.3331,0.537171,442,33.6247,31.6,17.9311,7.2795,25.2106,"RSI(14) 33.6247 < 35; VIX 31.6 >= 25.2106; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-02-23,2023-07-13,sigma1_weekly_1lot,1,1,320.814,373.0529,302,6194.8166,8339.3903,2144.5737,0.346188,505,32.2348,31.02,17.8087,7.2426,25.0513,"RSI(14) 32.2348 < 35; VIX 31.02 >= 25.0513; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-01-20,2023-07-24,sigma1_weekly_1lot,1,1,352.2702,370.1798,333,6365.7525,5479.7959,-885.9566,-0.139175,550,31.0491,25.59,17.7381,7.2238,24.9619,"RSI(14) 31.0491 < 35; VIX 25.59 >= 24.9619; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2022-04-26,2023-07-27,sigma2_daily_2lot,2,2,309.2367,370.5636,290,12614.4599,18660.0103,6045.5504,0.479256,457,33.7858,33.52,17.9263,7.2763,32.4789,"RSI(14) 33.7858 < 35; VIX 33.52 >= 32.4789; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-01-24,2023-07-28,sigma1_weekly_1lot,1,1,344.0702,377.3132,325,6272.6004,6567.5751,294.9747,0.047026,550,28.3739,29.9,17.7464,7.2279,24.9743,"RSI(14) 28.3739 < 35; VIX 29.9 >= 24.9743; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",forced exit with 180 days left to expiry,force_exit_180d_to_expiry
trade,trade_log,,,,,,,,,,,,2022-09-06,2023-09-06,sigma1_weekly_1lot,1,1,286.2963,368.7137,265,7178.356,11577.3478,4398.9918,0.612813,365,33.4322,26.91,18.184,7.3363,25.5203,"RSI(14) 33.4322 < 35; VIX 26.91 >= 25.5203; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-09-21,2023-09-21,sigma1_weekly_1lot,1,1,277.5228,352.6149,257,7075.3956,10723.4266,3648.031,0.515594,365,34.8195,27.99,18.2118,7.3372,25.549,"RSI(14) 34.8195 < 35; VIX 27.99 >= 25.549; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2024-08-06,2024-12-16,sigma1_weekly_1lot,1,1,435.4464,533.9191,414,7344.2719,14773.0703,7428.7984,1.011509,132,33.4584,27.71,18.0948,7.0566,25.1514,"RSI(14) 33.4584 < 35; VIX 27.71 >= 25.1514; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2025-04-03,2025-07-03,sigma1_weekly_1lot,1,1,448.4891,554.1623,422,8721.5215,17602.4367,8880.9153,1.018276,91,31.7204,30.02,18.0925,6.9283,25.0208,"RSI(14) 31.7204 < 35; VIX 30.02 >= 25.0208; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2024-08-05,2025-08-05,sigma2_daily_2lot,2,2,431.325,558.1973,410,14551.2037,33765.3376,19214.1339,1.32045,365,30.2739,38.57,18.092,7.0557,32.2034,"RSI(14) 30.2739 < 35; VIX 38.57 >= 32.2034; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2025-04-08,2025-08-08,sigma2_daily_2lot,2,2,414.0558,572.4244,388,16750.6063,42693.0261,25942.4198,1.548745,122,23.3233,52.33,18.1177,6.9805,32.0787,"RSI(14) 23.3233 < 35; VIX 52.33 >= 32.0787; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2025-04-04,2025-08-12,sigma2_daily_2lot,2,2,420.6339,577.9041,394,17039.1783,42601.3034,25562.1251,1.500197,130,24.3389,45.31,18.1001,6.9422,31.9845,"RSI(14) 24.3389 < 35; VIX 45.31 >= 31.9845; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2025-04-07,2025-09-11,sigma2_daily_2lot,2,2,421.649,581.9193,395,17048.5633,42711.6266,25663.0633,1.505292,157,25.0236,46.98,18.1082,6.958,32.0242,"RSI(14) 25.0236 < 35; VIX 46.98 >= 32.0242; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2025-03-10,2025-09-12,sigma1_weekly_1lot,1,1,469.7523,584.4896,443,8723.8917,17658.455,8934.5632,1.024149,186,28.5145,27.86,18.0751,6.9377,25.0128,"RSI(14) 28.5145 < 35; VIX 27.86 >= 25.0128; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
